cell line	drug	target	log10[IC50 (M)]	log10[GI50 (M)]	log2[HillSlope]	E_max
184A1	        17-AAG	HSP90	-7.5836	    -8.0006	1.2992	0.3454
184A1	5-FU	TYMS	-3.8959	-4.3016	0.5370	0.11217
184A1	5-FUdR	TYMS	-2.9819	-3.6467	-0.9225	0.30424
184A1	AG1478	EGFR	NaN	NaN	NaN	NaN
184A1	BIBW2992	EGFR/HER2	-7.2239	-7.7859	-0.7089	0.097615
184A1	Baicalein	Lipoxygenase	NaN	NaN	NaN	NaN
184A1	Bortezomib	Proteasome	-7.0276	-7.5883	-0.3859	0.097206
184A1	Bosutinib	Src	NaN	NaN	NaN	NaN
184A1	CGC-11047	Polyamine analogue	-3.3723	-4.2763	1.0817	0.0078503
184A1	CGC-11144	Polyamine analogue	-6.13	-6.362	1.2878	0.1035
184A1	CPT-11	TOP1	-5.0068	-5.4106	0.7433	0.22613000000000003
184A1	Carboplatin	DNA cross-linker	-4.6379	-4.9293	1.3274	0.17273
184A1	Cisplatin	DNA cross-linker	-5.2555	-5.5507	1.1846	0.088616
184A1	Docetaxel	TUBB	-5.0	-6.0351	0.3896	0.71602
184A1	Doxorubicin	TOP2	NaN	NaN	NaN	NaN
184A1	Epirubicin	TOP2	-6.1671	-6.6338	0.2425	0.020674
184A1	Erlotinib	EGFR	-6.4925	-6.6897	1.7904	0.3676
184A1	Etoposide	TOP2	-4.5938	-5.0898	-0.3333	0.11737
184A1	Everolimus	MTOR	NaN	NaN	NaN	NaN
184A1	Fascaplysin	CDK4	-6.3045	-6.4382	1.2792	0
184A1	GSK1059615	PI3K	-6.9876	-7.7542	0.1493	0.29573
184A1	GSK1070916	AURK	-4.8387	-6.0739	-0.6979	0.40765999999999997
184A1	GSK1120212	MEK	-6.0092	-8.716000000000001	0.1193	0.49909
184A1	GSK1838705A	IGF1R	-6.13	-6.4424	0.9635	0.376
184A1	GSK2119563A	PI3K	-6.1153	-7.0685	-0.4905	0.39541
184A1	GSK2126458A	PI3K	-8.1611	-8.7804	-0.1064	0.33029000000000003
184A1	GSK461364	PLK1	-4.8844	-5.2355	1.2029	0.10374000000000001
184A1	GSK923295	CENPE	-4.7687	-4.9643	1.4573	0.13694
184A1	Gefitinib	EGFR	NaN	NaN	NaN	NaN
184A1	Geldanamycin	HSP90	-8.299	-8.6228	1.9190	0.4215
184A1	Gemcitabine	DNA replication	-4.8599	-6.3316	-1.0970	0.27091
184A1	IKK 16	IKK	-5.7658	-6.0556	0.3231	0.010153
184A1	Ibandronate sodium salt	FDPS	-3.6426	-3.8459	0.8750	0.030548000000000002
184A1	Imatinib	ABL/KIT/PDGFR	-4.6155	-4.8241	1.0594	0.0014107000000000002
184A1	Ixabepilone	TUBB	-6.3849	-6.7272	0.7651	0.034261
184A1	LBH589	HDAC	-6.2229	-6.5818	-0.0237	0.067735
184A1	Lestaurtinib	FLT3/JAK2/TrkA	-5.745	-5.8574	1.6285	0.033129
184A1	MG-132	Proteasome	-7.3691	-7.7518	-0.0177	0.1048
184A1	MLN4924	NAE1	-5.4225	-6.2842	-0.4933	0.39241
184A1	NSC663284	CDC25	-5.6942	-5.7829999999999995	1.9996	0.007942
184A1	NU6102	CDK1/2	-4.9566	-5.1973	0.7748	0.044123
184A1	Nutlin 3a	MDM2	-5.0573	-5.4041	-0.2231	0.1499
184A1	Olomoucine II	CDK1	-5.274	-5.4786	1.3907	0.27147
184A1	Oxaliplatin	DNA cross-linker	-5.1606	-5.8995	-0.1265	0.026668
184A1	Oxamflatin	HDAC	-5.5309	-5.8431	0.4478	0.013986000000000002
184A1	PD173074	FGFR1/3	-4.8249	-5.0956	0.9701	0.35928000000000004
184A1	PP242 hydrate	MTOR	NaN	NaN	NaN	NaN
184A1	Paclitaxel	TUBB	-4.4776	-7.13	0.6415	0.6613
184A1	SB-715992	KSP	-5.5625	-5.8634	0.5529	0.027135000000000003
184A1	Sigma AKT1-2 inhibitor	AKT	-5.2028	-5.5829	-0.3752	0.13906
